"Source:","C:\Users\Tienda\Documents\Projects\LHR\BPS-AmperesPCB\BPS-Amperes.kicad_sch"
"Date:","10/9/2022 4:01:59 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","55"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg","Mouser#"
"","","C1","10u","Device:C","UTSVT_Passive:C_2220_5750Metrix","https://www.mouser.com/ProductDetail/810-C5750X7S2A106M ","TMK212BBJ106MGHT",""
"","","C2","2.2uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","UMK212ABJ225KG-T",""
"","","C3","1n","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C102J5HACAUTO?qs=j%252B1pi9TdxUbgwPgoM1tuTw%3D%3D","C0805C102J5HACAUTO",""
"","","C4","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C105K5PACTU?qs=mYAa4mSiDJyTAfAbrHf%2FRg%3D%3D","C0805C105K5PACTU",""
"","","C5","2.2n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C0805J222K5RACAUTO",""
"","","C6","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","",""
"","","C7","470nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","C0805C474K3RAC",""
"","","C8","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","C0805C104M5RACTU",""
"","","C9","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","C0805C104M5RACTU",""
"","","C10","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C105K5PACTU?qs=mYAa4mSiDJyTAfAbrHf%2FRg%3D%3D","",""
"","","C11","2.2uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","UMK212ABJ225KG-T",""
"","","C12","2.2uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","UMK212ABJ225KG-T",""
"","","C13","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","",""
"","","C14","2.2uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","UMK212ABJ225KG-T",""
"","","C15","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C105K5PACTU?qs=mYAa4mSiDJyTAfAbrHf%2FRg%3D%3D","C0805C105K5PACTU",""
"","","C16","47pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","C0805C470JAGACAUTO",""
"","","C17","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","",""
"","","C18","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C105K5PACTU?qs=mYAa4mSiDJyTAfAbrHf%2FRg%3D%3D","",""
"","","D1","PowerOn","Device:LED","LED_SMD:LED_0805_2012Metric","~","APTD2012LCGCK",""
"","","D2","D_Schottky","Device:D_Schottky","Diode_SMD:D_0805_2012Metric","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rb061qs-20-e.pdf","","RB061QS-20T18R"
"","","D3","3.0V±0.05","Device:D_Zener","Diode_SMD:D_0805_2012Metric","https://www.mouser.com/datasheet/2/916/BZT52H_Q_SER-2721682.pdf","BZT52H-A3V0-QX",""
"","","FB1","FerriteBead_Small","Device:FerriteBead_Small","Inductor_SMD:L_0805_2012Metric","https://www.mouser.com/ProductDetail/963-BK2125LM182-T","",""
"","","FB2","FerriteBead_Small","Device:FerriteBead_Small","Inductor_SMD:L_0805_2012Metric","https://www.mouser.com/ProductDetail/963-BK2125LM182-T","",""
"","","H1","M3","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","",""
"","","H2","M3","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","",""
"","","H3","M3","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","",""
"","","H4","M3","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","",""
"","","J1","ShuntConn","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal","~","",""
"","","J2","LeaderConn","Connector_Generic:Conn_01x04","Connector_Molex:Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical","~","",""
"","","J3","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"","","LOGO1","Dr Hallock","utsvt-misc:Logo_Placeholder","UTSVT_Special:Hallock_Image_Tiny","","",""
"","","LOGO2","UTSVT Logo","utsvt-misc:Logo_Placeholder","UTSVT_Special:UTSVT_Logo_Symbol","","",""
"","","R1","1.2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K20FKEA",""
"","","R2","1.5k","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K50JNEB",""
"","","R3","1.2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K20FKEA",""
"","","R4","120","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW0805120RFKEA",""
"","","R5","806","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW0805806RFKEA",""
"","","R6","1.21k","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K20FKEA",""
"","","R7","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW080510K0FKEAC",""
"","","R8","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW080510K0FKEAC",""
"","","R9","50","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW080550R0FKTA",""
"","","TP1","+12V_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"","","TP2","GNDPWR_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"","","TP3","+3.3V_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"","","TP4","GND_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"","","TP5","Ain_TP","Connector:TestPoint","","~","",""
"","","TP6","+1V5_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"","","TP7","+3V0_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"","","U1","INA186A3IDDFT ","utsvt-chips:INA186A3QDBVRQ1","Package_TO_SOT_SMD:SOT-23-8","","",""
"","","U2","RO-123.3S_HP","utsvt-power-regulators:RO-123.3S_HP","UTSVT_ICs:RI3_DC_Converter","https://www.mouser.com/datasheet/2/468/RO-1711124.pdf","RM-123.3S/H",""
"","","U3","LTC6820","utsvt-bps:LTC6820","Package_SO:MSOP-16_3x4mm_P0.5mm","","LTC6820HMS#PBF",""
"","","U4","HX1188FNL","utsvt-chips:HX1188FNL","UTSVT_Passive:HXXXX","https://www.mouser.com/datasheet/2/336/HX1188NL-515471.pdf","HX1188FNL",""
"","","U5","REF1930AIDDCT","utsvt-power-regulators:REF1930AIDDCT","Package_TO_SOT_SMD:SOT-23-5","","",""
"","","U6","LTC2315","utsvt-chips:LTC2315","Package_TO_SOT_SMD:SOT-23-8","","584-C2315ITS8-12TMPF",""
"","","U7","OPA2196","Amplifier_Operational:OPA2196xD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa4196.pdf","OPA2196ID",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg","Mouser#"
"1","1","C1","10u","Device:C","UTSVT_Passive:C_2220_5750Metrix","https://www.mouser.com/ProductDetail/810-C5750X7S2A106M ","TMK212BBJ106MGHT",""
"2","4","C2, C11, C12, C14","2.2uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","UMK212ABJ225KG-T",""
"3","1","C3","1n","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C102J5HACAUTO?qs=j%252B1pi9TdxUbgwPgoM1tuTw%3D%3D","C0805C102J5HACAUTO",""
"4","4","C4, C10, C15, C18","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C105K5PACTU?qs=mYAa4mSiDJyTAfAbrHf%2FRg%3D%3D","C0805C105K5PACTU",""
"5","1","C5","2.2n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C0805J222K5RACAUTO",""
"6","3","C6, C13, C17","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","",""
"7","1","C7","470nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","C0805C474K3RAC",""
"8","2","C8, C9","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","C0805C104M5RACTU",""
"9","1","C16","47pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","C0805C470JAGACAUTO",""
"10","1","D1","PowerOn","Device:LED","LED_SMD:LED_0805_2012Metric","~","APTD2012LCGCK",""
"11","1","D2","D_Schottky","Device:D_Schottky","Diode_SMD:D_0805_2012Metric","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rb061qs-20-e.pdf","","RB061QS-20T18R"
"12","1","D3","3.0V±0.05","Device:D_Zener","Diode_SMD:D_0805_2012Metric","https://www.mouser.com/datasheet/2/916/BZT52H_Q_SER-2721682.pdf","BZT52H-A3V0-QX",""
"13","2","FB1, FB2","FerriteBead_Small","Device:FerriteBead_Small","Inductor_SMD:L_0805_2012Metric","https://www.mouser.com/ProductDetail/963-BK2125LM182-T","",""
"14","4","H1, H2, H3, H4","M3","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","",""
"15","1","J1","ShuntConn","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal","~","",""
"16","1","J2","LeaderConn","Connector_Generic:Conn_01x04","Connector_Molex:Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical","~","",""
"17","1","J3","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"18","1","LOGO1","Dr Hallock","utsvt-misc:Logo_Placeholder","UTSVT_Special:Hallock_Image_Tiny","","",""
"19","1","LOGO2","UTSVT Logo","utsvt-misc:Logo_Placeholder","UTSVT_Special:UTSVT_Logo_Symbol","","",""
"20","2","R1, R3","1.2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K20FKEA",""
"21","1","R2","1.5k","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K50JNEB",""
"22","1","R4","120","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW0805120RFKEA",""
"23","1","R5","806","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW0805806RFKEA",""
"24","1","R6","1.21k","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K20FKEA",""
"25","2","R7, R8","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW080510K0FKEAC",""
"26","1","R9","50","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW080550R0FKTA",""
"27","1","TP1","+12V_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"28","1","TP2","GNDPWR_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"29","1","TP3","+3.3V_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"30","1","TP4","GND_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"31","1","TP5","Ain_TP","Connector:TestPoint","","~","",""
"32","1","TP6","+1V5_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"33","1","TP7","+3V0_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"34","1","U1","INA186A3IDDFT ","utsvt-chips:INA186A3QDBVRQ1","Package_TO_SOT_SMD:SOT-23-8","","",""
"35","1","U2","RO-123.3S_HP","utsvt-power-regulators:RO-123.3S_HP","UTSVT_ICs:RI3_DC_Converter","https://www.mouser.com/datasheet/2/468/RO-1711124.pdf","RM-123.3S/H",""
"36","1","U3","LTC6820","utsvt-bps:LTC6820","Package_SO:MSOP-16_3x4mm_P0.5mm","","LTC6820HMS#PBF",""
"37","1","U4","HX1188FNL","utsvt-chips:HX1188FNL","UTSVT_Passive:HXXXX","https://www.mouser.com/datasheet/2/336/HX1188NL-515471.pdf","HX1188FNL",""
"38","1","U5","REF1930AIDDCT","utsvt-power-regulators:REF1930AIDDCT","Package_TO_SOT_SMD:SOT-23-5","","",""
"39","1","U6","LTC2315","utsvt-chips:LTC2315","Package_TO_SOT_SMD:SOT-23-8","","584-C2315ITS8-12TMPF",""
"40","1","U7","OPA2196","Amplifier_Operational:OPA2196xD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa4196.pdf","OPA2196ID",""
